tahun,wilayah,produksi_ton,stasiun,curah_hujan_mm,suhu_rata_celsius,suhu_max_celsius,suhu_min_celsius,kelembapan_pct,penyinaran_jam,kecepatan_angin_ms
1990,Kab. Cilacap,331496.82424332696,Cilacap,1867.1047235136048,27.857070170954273,33.36351497104449,21.98340698595686,75.00935797584998,6.999496398427995,3.215237949431246
1991,Kab. Cilacap,346031.89293522533,Cilacap,3115.5098666130234,28.030435302406303,30.060783857386934,21.370099595293965,71.03671598239458,6.695434660309424,2.3628981871310346
1992,Kab. Cilacap,344183.1673202022,Cilacap,1905.5861789009248,25.26479251726178,33.10646224524805,19.670249828343845,84.65398101180561,6.118109542295478,1.705059600929876
1993,Kab. Cilacap,319694.5433419076,Cilacap,3002.647637713447,24.92879162296353,32.16383439799631,21.42721941610951,76.64912314297425,4.726342624586863,2.621763141038441
1994,Kab. Cilacap,339588.8780750378,Cilacap,3372.231740196898,26.708671986492792,33.357395743336035,21.161410768188198,73.97984277918873,6.17333545640912,3.7528193950899547
1995,Kab. Cilacap,316212.8772214939,Cilacap,1433.157664372266,24.88926388044856,31.38159554232927,20.16009463797253,89.60737481884371,4.770010186735288,3.056102983141785
1996,Kab. Cilacap,307687.8506812016,Cilacap,1612.538768628084,28.35338272704872,30.56651752363732,20.018005011807958,84.75769969669213,7.318217712109782,2.7681859106817965
1997,Kab. Cilacap,284584.44528458966,Cilacap,1997.0055862912518,25.488061892764353,31.321381315793197,19.026664693534,79.6607939511778,5.574135024270429,2.3623849946917503
1998,Kab. Cilacap,288574.261655221,Cilacap,2710.5389459914813,28.34268665849946,33.018186002796874,18.38489733532483,71.51167227708135,8.305692883382264,2.391872370922001
1999,Kab. Cilacap,314008.9240118391,Cilacap,1411.7540679896936,26.495222935751908,33.11824389145133,21.242524100593442,75.34804055715082,4.5604427368579,4.395046108363416
2000,Kab. Cilacap,345483.0684879241,Cilacap,1777.0540050895356,26.880131440262737,33.53314934939355,21.050037085397427,76.25814788427296,5.584385015056263,3.2930048481081093
2001,Kab. Cilacap,287580.87832022784,Cilacap,3192.0199573068903,28.233668644616976,30.52952902201879,18.7741430629886,88.89472517566159,7.44614091333917,4.148981474489319
2002,Kab. Cilacap,327875.97138333286,Cilacap,1666.0550585112892,26.43792935554701,33.50569797208737,21.400559427234864,78.16303381733397,4.561579566765234,3.2487781704127894
2003,Kab. Cilacap,358436.58524685353,Cilacap,1782.1335401131,25.75127123071445,34.78790507541909,19.995176588212175,86.79603213328853,5.2541624229970045,3.5173814940750865
2004,Kab. Cilacap,267565.6701940241,Cilacap,3447.11599520957,24.009465504364684,30.04159971113596,20.167913963163073,71.85250966102734,7.493537398704925,4.243645991545677
2005,Kab. Cilacap,371134.6186553182,Cilacap,2198.248237230145,24.793558210777206,32.17201659503305,21.617239089250006,70.18108323160742,6.857815957938788,3.339875054662137
2006,Kab. Cilacap,329824.8276843915,Cilacap,2666.682967860652,24.710110399904387,33.570263616890635,18.456957431658882,73.98540672933602,8.009880186617927,3.716169452179699
2007,Kab. Cilacap,219988.69806865838,Cilacap,1231.6147742260941,24.741881301849002,31.072032414965822,19.354031640184864,74.95119540559773,4.750105182971383,2.876821549790461
2008,Kab. Cilacap,457774.92580981186,Cilacap,2885.28699200818,26.533658623587183,33.3643583429904,18.405745892681196,89.02981420353575,7.853967335372099,3.9152709554869882
2009,Kab. Cilacap,276118.8162759772,Cilacap,3092.862751596065,28.163552540663808,32.72126983056849,19.00141008933813,82.33567215705082,7.471525974671756,3.7137521800620763
2010,Kab. Cilacap,327197.0180095753,Cilacap,2399.332755583824,23.84229359666789,31.85556469215064,22.603833042316786,81.68897819514852,6.653327773022854,2.3065605431465803
2011,Kab. Cilacap,482176.88157842006,Cilacap,2047.4325158081315,27.976730445765845,33.33231523763418,21.936935133761665,79.0869084613531,7.020988877824632,2.2451508262296227
2012,Kab. Cilacap,445000.37256250007,Cilacap,2822.559909652018,25.638006668516688,32.212727574073725,21.24661162288441,88.72561242937853,4.756025386434484,3.974229712041023
2013,Kab. Cilacap,233429.67721863644,Cilacap,1872.4811539480443,25.71959727253189,30.109566643875045,19.505230389171565,80.0526248526026,4.724704309389756,2.9732871881494956
2014,Kab. Cilacap,257376.7409083216,Cilacap,3332.354446374383,24.026966090539027,33.82220364037752,20.048355266879962,83.10347429048676,5.540946391940917,1.978476787624075
2015,Kab. Cilacap,313841.09871860896,Cilacap,1569.0640128238208,23.852459728215724,30.928233524506215,21.32109692494484,87.63381223687016,7.756502742364647,3.5554029296234524
2016,Kab. Cilacap,271046.2508016942,Cilacap,1453.993285845536,24.94593723147975,31.549034376612344,19.249784731988107,80.30011319419447,6.64221525951869,2.5706579255133306
2017,Kab. Cilacap,303293.5109059621,Cilacap,2013.7150650938029,27.64277798953041,33.94646424159843,19.538979158403727,88.27576887746518,8.311260068010025,2.4802276260901226
2018,Kab. Cilacap,382566.10713881144,Cilacap,2015.1773822240261,26.028170767109795,34.70560406266837,22.381597165711558,72.0513592516718,6.070922973085665,3.1601135692493156
2019,Kab. Cilacap,193947.00054026037,Cilacap,2357.204686868542,24.469315339684464,34.294083855840775,21.384703914984186,86.75816749703607,7.935057117397889,3.745067560997219
2020,Kab. Cilacap,539890.5187493956,Cilacap,2210.18438287435,26.552733775077122,30.801827030598716,21.36822708737454,73.58506511478562,7.275798362040627,2.188794482261906
2021,Kab. Cilacap,178001.9924589422,Cilacap,1470.3679903455059,24.326422450714787,30.00996067609535,21.59369808926765,84.64802098116758,6.559733399653037,1.984088403166151
2022,Kab. Cilacap,518394.99816844316,Cilacap,1392.1749762745865,23.595644832186434,30.828740884826104,22.454277674915733,74.83073683403363,5.917085308868863,1.8160364534439997
2023,Kab. Cilacap,503043.6345919078,Cilacap,1711.4310009207916,26.096122853901026,33.038763415478265,19.226761570831055,71.15464318450235,6.064131476509594,2.2026101127790025
2024,Kab. Cilacap,164486.4390833283,Cilacap,1704.9740234285446,28.299314013567276,33.08150242962862,20.78439221586048,78.31550207046644,6.2157773337205775,3.1227150115142424
2025,Kab. Cilacap,530070.8647376839,Cilacap,2801.7885561830467,27.010730480909146,30.85846953852725,20.500563760383134,78.23916190068203,7.982107865077537,3.3942567636551293
1990,Kab. Banyumas,426929.51464698795,Cilacap,1867.1047235136048,27.857070170954273,33.36351497104449,21.98340698595686,75.00935797584998,6.999496398427995,3.215237949431246
